date,facility_id,facility_name,facility_type,location,drug_id,drug_name,category,current_stock,min_stock,daily_usage,lead_time_days
1/18/2024,3,Giza Health Center,Clinic,Giza,103,Ibuprofen,Painkiller,152,42,18,7
3/25/2024,6,Delta Medical Center,Clinic,Mansoura,105,Aspirin,Cardio,24,27,10,3
1/10/2024,5,Alex Central Hospital,Hospital,Alexandria,103,Ibuprofen,Painkiller,65,58,15,6
4/21/2024,6,Delta Medical Center,Clinic,Mansoura,103,Ibuprofen,Painkiller,271,27,14,10
1/12/2024,2,El Amal Pharmacy,Pharmacy,Cairo,103,Ibuprofen,Painkiller,233,20,18,13
6/20/2024,5,Alex Central Hospital,Hospital,Alexandria,106,Metformin,Diabetes,110,43,15,2
6/8/2024,6,Delta Medical Center,Clinic,Mansoura,103,Ibuprofen,Painkiller,170,62,5,12
3/20/2024,3,Giza Health Center,Clinic,Giza,105,Aspirin,Cardio,219,40,14,12
2/2/2024,3,Giza Health Center,Clinic,Giza,105,Aspirin,Cardio,108,46,14,11
6/6/2024,6,Delta Medical Center,Clinic,Mansoura,102,Amoxicillin,Antibiotic,164,45,19,14
3/14/2024,1,Cairo General Hospital,Hospital,Cairo,103,Ibuprofen,Painkiller,117,47,20,10
4/29/2024,6,Delta Medical Center,Clinic,Mansoura,103,Ibuprofen,Painkiller,236,48,8,9
2/13/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,53,38,18,11
3/26/2024,6,Delta Medical Center,Clinic,Mansoura,105,Aspirin,Cardio,57,72,9,11
2/20/2024,3,Giza Health Center,Clinic,Giza,102,Amoxicillin,Antibiotic,85,21,3,4
1/19/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,105,Aspirin,Cardio,243,46,20,4
4/8/2024,6,Delta Medical Center,Clinic,Mansoura,106,Metformin,Diabetes,263,45,9,3
1/2/2024,6,Delta Medical Center,Clinic,Mansoura,106,Metformin,Diabetes,64,69,15,4
5/12/2024,2,El Amal Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,247,23,19,4
2/4/2024,1,Cairo General Hospital,Hospital,Cairo,104,Insulin,Diabetes,247,62,18,9
4/23/2024,5,Alex Central Hospital,Hospital,Alexandria,103,Ibuprofen,Painkiller,268,47,19,8
5/1/2024,2,El Amal Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,240,36,9,14
5/13/2024,6,Delta Medical Center,Clinic,Mansoura,103,Ibuprofen,Painkiller,258,60,9,5
3/14/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,101,Paracetamol,Painkiller,130,37,12,6
2/5/2024,5,Alex Central Hospital,Hospital,Alexandria,101,Paracetamol,Painkiller,87,34,14,12
2/24/2024,2,El Amal Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,42,46,15,6
4/16/2024,5,Alex Central Hospital,Hospital,Alexandria,104,Insulin,Diabetes,41,33,15,7
1/6/2024,5,Alex Central Hospital,Hospital,Alexandria,106,Metformin,Diabetes,204,50,2,6
4/17/2024,3,Giza Health Center,Clinic,Giza,104,Insulin,Diabetes,285,67,19,13
5/4/2024,5,Alex Central Hospital,Hospital,Alexandria,102,Amoxicillin,Antibiotic,122,37,15,8
3/27/2024,1,Cairo General Hospital,Hospital,Cairo,104,Insulin,Diabetes,217,66,7,14
6/8/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,102,Amoxicillin,Antibiotic,283,21,14,10
1/7/2024,5,Alex Central Hospital,Hospital,Alexandria,106,Metformin,Diabetes,52,61,15,3
1/13/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,102,Amoxicillin,Antibiotic,143,44,12,4
3/27/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,103,Ibuprofen,Painkiller,204,37,15,5
1/5/2024,1,Cairo General Hospital,Hospital,Cairo,104,Insulin,Diabetes,286,23,13,4
6/15/2024,6,Delta Medical Center,Clinic,Mansoura,101,Paracetamol,Painkiller,30,68,2,4
6/8/2024,2,El Amal Pharmacy,Pharmacy,Cairo,101,Paracetamol,Painkiller,88,35,6,8
5/24/2024,6,Delta Medical Center,Clinic,Mansoura,101,Paracetamol,Painkiller,121,49,10,13
6/4/2024,3,Giza Health Center,Clinic,Giza,102,Amoxicillin,Antibiotic,68,69,7,5
1/7/2024,1,Cairo General Hospital,Hospital,Cairo,105,Aspirin,Cardio,169,56,14,7
1/20/2024,6,Delta Medical Center,Clinic,Mansoura,102,Amoxicillin,Antibiotic,134,26,11,14
1/31/2024,6,Delta Medical Center,Clinic,Mansoura,105,Aspirin,Cardio,299,70,3,6
6/18/2024,5,Alex Central Hospital,Hospital,Alexandria,104,Insulin,Diabetes,199,24,18,11
4/17/2024,3,Giza Health Center,Clinic,Giza,101,Paracetamol,Painkiller,260,26,15,6
2/9/2024,6,Delta Medical Center,Clinic,Mansoura,104,Insulin,Diabetes,232,31,18,11
5/17/2024,3,Giza Health Center,Clinic,Giza,105,Aspirin,Cardio,257,49,15,14
3/9/2024,6,Delta Medical Center,Clinic,Mansoura,105,Aspirin,Cardio,175,74,9,14
4/25/2024,1,Cairo General Hospital,Hospital,Cairo,103,Ibuprofen,Painkiller,134,68,16,10
4/7/2024,5,Alex Central Hospital,Hospital,Alexandria,106,Metformin,Diabetes,182,21,17,14
5/4/2024,3,Giza Health Center,Clinic,Giza,102,Amoxicillin,Antibiotic,118,42,10,6
6/28/2024,3,Giza Health Center,Clinic,Giza,105,Aspirin,Cardio,151,55,2,9
3/2/2024,2,El Amal Pharmacy,Pharmacy,Cairo,101,Paracetamol,Painkiller,218,51,19,13
5/1/2024,2,El Amal Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,261,48,2,2
4/13/2024,3,Giza Health Center,Clinic,Giza,102,Amoxicillin,Antibiotic,134,39,20,6
5/15/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,105,Aspirin,Cardio,186,47,19,6
4/26/2024,3,Giza Health Center,Clinic,Giza,106,Metformin,Diabetes,148,39,10,4
2/19/2024,1,Cairo General Hospital,Hospital,Cairo,106,Metformin,Diabetes,171,27,19,13
2/19/2024,6,Delta Medical Center,Clinic,Mansoura,102,Amoxicillin,Antibiotic,120,67,17,5
5/14/2024,6,Delta Medical Center,Clinic,Mansoura,105,Aspirin,Cardio,154,26,8,5
2/15/2024,2,El Amal Pharmacy,Pharmacy,Cairo,103,Ibuprofen,Painkiller,164,20,19,3
1/14/2024,3,Giza Health Center,Clinic,Giza,101,Paracetamol,Painkiller,293,38,6,11
1/4/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,101,Paracetamol,Painkiller,155,50,17,8
1/14/2024,3,Giza Health Center,Clinic,Giza,102,Amoxicillin,Antibiotic,139,80,17,2
5/5/2024,1,Cairo General Hospital,Hospital,Cairo,104,Insulin,Diabetes,47,56,3,3
3/18/2024,2,El Amal Pharmacy,Pharmacy,Cairo,105,Aspirin,Cardio,53,35,5,9
6/1/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,105,Aspirin,Cardio,125,69,18,7
3/17/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,104,Insulin,Diabetes,229,39,20,10
1/26/2024,1,Cairo General Hospital,Hospital,Cairo,105,Aspirin,Cardio,116,60,8,5
2/10/2024,6,Delta Medical Center,Clinic,Mansoura,101,Paracetamol,Painkiller,132,31,19,2
4/14/2024,2,El Amal Pharmacy,Pharmacy,Cairo,101,Paracetamol,Painkiller,240,64,17,5
3/14/2024,1,Cairo General Hospital,Hospital,Cairo,102,Amoxicillin,Antibiotic,154,64,16,2
3/8/2024,6,Delta Medical Center,Clinic,Mansoura,102,Amoxicillin,Antibiotic,111,47,5,9
2/8/2024,2,El Amal Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,146,72,6,2
3/19/2024,1,Cairo General Hospital,Hospital,Cairo,102,Amoxicillin,Antibiotic,157,48,5,8
6/28/2024,6,Delta Medical Center,Clinic,Mansoura,103,Ibuprofen,Painkiller,216,80,10,9
4/22/2024,5,Alex Central Hospital,Hospital,Alexandria,104,Insulin,Diabetes,51,58,3,7
6/3/2024,6,Delta Medical Center,Clinic,Mansoura,103,Ibuprofen,Painkiller,138,21,4,4
5/30/2024,6,Delta Medical Center,Clinic,Mansoura,105,Aspirin,Cardio,20,68,10,10
4/30/2024,1,Cairo General Hospital,Hospital,Cairo,102,Amoxicillin,Antibiotic,275,61,16,5
4/21/2024,2,El Amal Pharmacy,Pharmacy,Cairo,105,Aspirin,Cardio,261,25,17,6
3/23/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,103,Ibuprofen,Painkiller,63,74,7,6
5/6/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,157,62,14,14
4/26/2024,5,Alex Central Hospital,Hospital,Alexandria,101,Paracetamol,Painkiller,55,40,10,6
5/11/2024,1,Cairo General Hospital,Hospital,Cairo,104,Insulin,Diabetes,10,62,19,8
2/18/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,101,Paracetamol,Painkiller,275,43,17,11
2/22/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,101,Paracetamol,Painkiller,146,55,6,5
5/4/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,72,21,9,12
5/21/2024,2,El Amal Pharmacy,Pharmacy,Cairo,103,Ibuprofen,Painkiller,17,55,15,2
4/28/2024,2,El Amal Pharmacy,Pharmacy,Cairo,101,Paracetamol,Painkiller,70,61,6,8
5/10/2024,6,Delta Medical Center,Clinic,Mansoura,103,Ibuprofen,Painkiller,149,46,17,8
5/21/2024,2,El Amal Pharmacy,Pharmacy,Cairo,104,Insulin,Diabetes,84,44,8,10
2/4/2024,5,Alex Central Hospital,Hospital,Alexandria,106,Metformin,Diabetes,45,37,15,6
1/1/2024,5,Alex Central Hospital,Hospital,Alexandria,103,Ibuprofen,Painkiller,154,66,11,14
6/17/2024,5,Alex Central Hospital,Hospital,Alexandria,105,Aspirin,Cardio,260,75,6,8
3/29/2024,5,Alex Central Hospital,Hospital,Alexandria,104,Insulin,Diabetes,180,55,19,7
2/18/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,103,Ibuprofen,Painkiller,132,56,14,4
3/22/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,101,Paracetamol,Painkiller,252,65,14,7
2/8/2024,6,Delta Medical Center,Clinic,Mansoura,106,Metformin,Diabetes,263,22,6,9
1/26/2024,5,Alex Central Hospital,Hospital,Alexandria,103,Ibuprofen,Painkiller,235,26,18,8
2/6/2024,1,Cairo General Hospital,Hospital,Cairo,106,Metformin,Diabetes,219,75,6,2
3/27/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,103,Ibuprofen,Painkiller,213,61,4,14
5/16/2024,3,Giza Health Center,Clinic,Giza,106,Metformin,Diabetes,204,40,17,14
6/7/2024,5,Alex Central Hospital,Hospital,Alexandria,101,Paracetamol,Painkiller,45,35,11,4
4/21/2024,6,Delta Medical Center,Clinic,Mansoura,101,Paracetamol,Painkiller,60,68,5,8
3/17/2024,2,El Amal Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,24,22,12,13
4/1/2024,1,Cairo General Hospital,Hospital,Cairo,103,Ibuprofen,Painkiller,201,47,6,4
5/24/2024,5,Alex Central Hospital,Hospital,Alexandria,104,Insulin,Diabetes,102,30,7,2
6/7/2024,5,Alex Central Hospital,Hospital,Alexandria,104,Insulin,Diabetes,133,51,20,3
6/12/2024,2,El Amal Pharmacy,Pharmacy,Cairo,104,Insulin,Diabetes,140,49,10,11
3/14/2024,1,Cairo General Hospital,Hospital,Cairo,104,Insulin,Diabetes,289,30,4,8
3/17/2024,3,Giza Health Center,Clinic,Giza,105,Aspirin,Cardio,227,64,10,8
4/8/2024,3,Giza Health Center,Clinic,Giza,102,Amoxicillin,Antibiotic,257,26,9,7
5/27/2024,5,Alex Central Hospital,Hospital,Alexandria,103,Ibuprofen,Painkiller,161,64,11,1
3/11/2024,6,Delta Medical Center,Clinic,Mansoura,104,Insulin,Diabetes,14,56,3,10
3/14/2024,6,Delta Medical Center,Clinic,Mansoura,104,Insulin,Diabetes,127,58,13,4
6/7/2024,6,Delta Medical Center,Clinic,Mansoura,102,Amoxicillin,Antibiotic,138,63,6,11
6/14/2024,1,Cairo General Hospital,Hospital,Cairo,106,Metformin,Diabetes,30,39,16,1
2/3/2024,5,Alex Central Hospital,Hospital,Alexandria,103,Ibuprofen,Painkiller,56,78,11,6
2/14/2024,6,Delta Medical Center,Clinic,Mansoura,104,Insulin,Diabetes,112,28,19,6
3/10/2024,5,Alex Central Hospital,Hospital,Alexandria,105,Aspirin,Cardio,94,36,17,13
3/27/2024,3,Giza Health Center,Clinic,Giza,106,Metformin,Diabetes,68,49,4,3
6/21/2024,2,El Amal Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,213,74,19,6
1/4/2024,1,Cairo General Hospital,Hospital,Cairo,104,Insulin,Diabetes,145,54,5,8
6/21/2024,3,Giza Health Center,Clinic,Giza,106,Metformin,Diabetes,144,57,14,14
1/28/2024,6,Delta Medical Center,Clinic,Mansoura,103,Ibuprofen,Painkiller,129,50,2,10
6/5/2024,5,Alex Central Hospital,Hospital,Alexandria,103,Ibuprofen,Painkiller,123,61,4,11
3/18/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,219,27,6,1
5/6/2024,1,Cairo General Hospital,Hospital,Cairo,103,Ibuprofen,Painkiller,69,26,9,9
4/26/2024,2,El Amal Pharmacy,Pharmacy,Cairo,104,Insulin,Diabetes,199,62,19,7
2/9/2024,5,Alex Central Hospital,Hospital,Alexandria,106,Metformin,Diabetes,222,61,5,14
4/14/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,105,Aspirin,Cardio,153,22,13,4
3/1/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,104,Insulin,Diabetes,195,26,13,9
1/16/2024,6,Delta Medical Center,Clinic,Mansoura,103,Ibuprofen,Painkiller,213,37,8,2
6/18/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,101,Paracetamol,Painkiller,118,61,2,1
2/2/2024,3,Giza Health Center,Clinic,Giza,102,Amoxicillin,Antibiotic,299,33,4,14
5/30/2024,5,Alex Central Hospital,Hospital,Alexandria,102,Amoxicillin,Antibiotic,120,72,9,6
1/1/2024,2,El Amal Pharmacy,Pharmacy,Cairo,105,Aspirin,Cardio,151,74,6,3
2/14/2024,5,Alex Central Hospital,Hospital,Alexandria,103,Ibuprofen,Painkiller,66,62,2,3
3/1/2024,1,Cairo General Hospital,Hospital,Cairo,103,Ibuprofen,Painkiller,175,21,7,5
4/17/2024,1,Cairo General Hospital,Hospital,Cairo,102,Amoxicillin,Antibiotic,279,27,4,8
5/11/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,103,Ibuprofen,Painkiller,65,48,18,4
6/17/2024,5,Alex Central Hospital,Hospital,Alexandria,101,Paracetamol,Painkiller,276,39,16,11
5/2/2024,1,Cairo General Hospital,Hospital,Cairo,101,Paracetamol,Painkiller,215,47,5,8
1/19/2024,6,Delta Medical Center,Clinic,Mansoura,104,Insulin,Diabetes,51,40,6,2
6/8/2024,2,El Amal Pharmacy,Pharmacy,Cairo,103,Ibuprofen,Painkiller,290,65,12,7
3/16/2024,5,Alex Central Hospital,Hospital,Alexandria,105,Aspirin,Cardio,242,52,15,2
6/16/2024,6,Delta Medical Center,Clinic,Mansoura,101,Paracetamol,Painkiller,292,66,8,7
4/15/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,102,Amoxicillin,Antibiotic,183,72,16,7
1/25/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,170,47,12,11
2/9/2024,3,Giza Health Center,Clinic,Giza,103,Ibuprofen,Painkiller,252,24,4,14
4/20/2024,1,Cairo General Hospital,Hospital,Cairo,101,Paracetamol,Painkiller,59,67,13,13
1/16/2024,2,El Amal Pharmacy,Pharmacy,Cairo,105,Aspirin,Cardio,297,55,12,11
3/31/2024,1,Cairo General Hospital,Hospital,Cairo,104,Insulin,Diabetes,226,75,3,5
3/31/2024,5,Alex Central Hospital,Hospital,Alexandria,103,Ibuprofen,Painkiller,63,56,18,4
5/3/2024,2,El Amal Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,124,74,5,6
1/30/2024,5,Alex Central Hospital,Hospital,Alexandria,103,Ibuprofen,Painkiller,152,56,9,13
6/8/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,105,Aspirin,Cardio,295,21,10,1
6/28/2024,2,El Amal Pharmacy,Pharmacy,Cairo,103,Ibuprofen,Painkiller,168,78,12,6
2/6/2024,1,Cairo General Hospital,Hospital,Cairo,102,Amoxicillin,Antibiotic,299,62,14,2
6/11/2024,2,El Amal Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,25,25,18,4
4/26/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,104,Insulin,Diabetes,184,30,13,5
5/25/2024,6,Delta Medical Center,Clinic,Mansoura,103,Ibuprofen,Painkiller,53,76,3,3
1/13/2024,2,El Amal Pharmacy,Pharmacy,Cairo,105,Aspirin,Cardio,51,37,16,11
6/4/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,104,Insulin,Diabetes,236,46,10,4
3/29/2024,5,Alex Central Hospital,Hospital,Alexandria,101,Paracetamol,Painkiller,230,27,11,11
5/4/2024,6,Delta Medical Center,Clinic,Mansoura,105,Aspirin,Cardio,279,62,11,1
6/2/2024,2,El Amal Pharmacy,Pharmacy,Cairo,104,Insulin,Diabetes,38,20,8,5
3/6/2024,2,El Amal Pharmacy,Pharmacy,Cairo,102,Amoxicillin,Antibiotic,158,40,5,1
4/20/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,99,28,14,9
5/8/2024,6,Delta Medical Center,Clinic,Mansoura,102,Amoxicillin,Antibiotic,296,73,13,2
1/11/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,233,21,16,2
4/19/2024,3,Giza Health Center,Clinic,Giza,105,Aspirin,Cardio,217,65,15,5
1/6/2024,1,Cairo General Hospital,Hospital,Cairo,104,Insulin,Diabetes,176,30,16,14
1/23/2024,6,Delta Medical Center,Clinic,Mansoura,103,Ibuprofen,Painkiller,233,74,5,4
4/12/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,105,Aspirin,Cardio,278,25,14,14
3/27/2024,3,Giza Health Center,Clinic,Giza,106,Metformin,Diabetes,123,41,7,2
1/30/2024,5,Alex Central Hospital,Hospital,Alexandria,106,Metformin,Diabetes,281,52,8,13
6/14/2024,3,Giza Health Center,Clinic,Giza,103,Ibuprofen,Painkiller,85,35,5,3
2/14/2024,3,Giza Health Center,Clinic,Giza,102,Amoxicillin,Antibiotic,88,68,4,3
4/28/2024,6,Delta Medical Center,Clinic,Mansoura,104,Insulin,Diabetes,298,68,20,8
6/13/2024,6,Delta Medical Center,Clinic,Mansoura,105,Aspirin,Cardio,175,75,12,3
4/30/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,101,Paracetamol,Painkiller,236,60,11,13
1/15/2024,3,Giza Health Center,Clinic,Giza,105,Aspirin,Cardio,190,52,4,5
1/10/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,104,Insulin,Diabetes,39,43,11,2
6/6/2024,6,Delta Medical Center,Clinic,Mansoura,101,Paracetamol,Painkiller,269,44,16,10
1/11/2024,5,Alex Central Hospital,Hospital,Alexandria,106,Metformin,Diabetes,240,78,20,11
6/3/2024,2,El Amal Pharmacy,Pharmacy,Cairo,103,Ibuprofen,Painkiller,253,52,6,1
3/28/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,101,Paracetamol,Painkiller,53,52,7,1
4/22/2024,2,El Amal Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,234,53,18,10
4/5/2024,2,El Amal Pharmacy,Pharmacy,Cairo,103,Ibuprofen,Painkiller,154,44,15,13
6/2/2024,3,Giza Health Center,Clinic,Giza,106,Metformin,Diabetes,36,70,12,2
5/22/2024,3,Giza Health Center,Clinic,Giza,101,Paracetamol,Painkiller,207,38,10,12
2/8/2024,6,Delta Medical Center,Clinic,Mansoura,105,Aspirin,Cardio,180,25,20,11
